chamber,name,yomi,party,district,img_url
衆議院,逢沢一郎,あいさわいちろう,自由民主党,岡山1,
衆議院,青木ひとみ,あおきひとみ,参政党,（比）北関東,
衆議院,青柳仁士,あおやぎひとし,日本維新の会,大阪14,
衆議院,青山繁晴,あおやましげはる,自由民主党,兵庫8,
衆議院,青山周平,あおやましゅうへい,自由民主党,愛知12,
衆議院,赤澤亮正,あかざわりょうせい,自由民主党,鳥取2,
衆議院,赤羽一嘉,あかばかずよし,中道改革連合,（比）近畿,
衆議院,あかま二郎,あかまじろう,自由民主党,神奈川14,
衆議院,秋葉賢也,あきばけんや,自由民主党,（比）東北,
衆議院,浅田眞澄美,あさだますみ,自由民主党,（比）九州,
衆議院,浅野哲,あさのさとし,国民民主党,茨城5,
衆議院,東国幹,あずまくによし,自由民主党,北海道6,
衆議院,東徹,あずまとおる,日本維新の会,大阪3,
衆議院,畦元将吾,あぜもとしょうご,自由民主党,東京6,
衆議院,麻生太郎,あそうたろう,自由民主党,福岡8,
衆議院,阿部圭史,あべけいし,日本維新の会,兵庫2,
衆議院,阿部司,あべつかさ,日本維新の会,（比）東京,
衆議院,あべ俊子,あべとしこ,自由民主党,（比）中国,
衆議院,阿部弘樹,あべひろき,自由民主党,（比）九州,
衆議院,有田芳生,ありたよしふ,中道改革連合,（比）東北,
衆議院,安藤たかお,あんどうたかお,自由民主党,東京28,
衆議院,飯泉嘉門,いいずみかもん,国民民主党,（比）四国,
衆議院,五十嵐清,いがらしきよし,自由民主党,栃木2,
衆議院,池下卓,いけしたたく,日本維新の会,大阪10,
衆議院,池畑浩太朗,いけはたこうたろう,日本維新の会,（比）近畿,
衆議院,伊佐進一,いさしんいち,中道改革連合,（比）近畿,
衆議院,石井啓一,いしいけいいち,無所属,（比）北関東,
衆議院,石井拓,いしいたく,自由民主党,愛知13,
衆議院,石川昭政,いしかわあきまさ,自由民主党,（比）北関東,
衆議院,石川勝,いしかわまさる,参政党,（比）近畿,
衆議院,石坂太,いしざかまさる,自由民主党,栃木4,
衆議院,石田真敏,いしだまさとし,自由民主党,（比）近畿,
衆議院,石破茂,いしばしげる,自由民主党,鳥取1,
衆議院,石橋林太郎,いしばしりんたろう,自由民主党,広島3,
衆議院,石原宏高,いしはらひろたか,自由民主党,東京3,
衆議院,石原正敬,いしはらまさたか,自由民主党,三重3,
衆議院,泉健太,いずみけんた,中道改革連合,京都3,
衆議院,一谷勇一郎,いちたにゆういちろう,日本維新の会,（比）近畿,
衆議院,市村浩一郎,いちむらこういちろう,日本維新の会,（比）近畿,
衆議院,井出庸生,いでようせい,自由民主党,長野3,
衆議院,井戸まさえ,いどまさえ,国民民主党,（比）東京,
衆議院,伊藤恵介,いとうけいすけ,参政党,（比）東海,
衆議院,伊藤聡,いとうさとし,自由民主党,（比）南関東,
衆議院,伊藤信太郎,いとうしんたろう,自由民主党,（比）東北,
衆議院,伊藤忠彦,いとうただひこ,自由民主党,愛知8,
衆議院,伊藤達也,いとうたつや,自由民主党,東京22,
衆議院,伊東信久,いとうのぶひさ,日本維新の会,（比）近畿,
衆議院,伊東良孝,いとうよしたか,自由民主党,（比）北海道,
衆議院,稲田朋美,いなだともみ,自由民主党,福井1,
衆議院,稲葉大輔,いなばだいすけ,自由民主党,静岡8,
